Nome do Assistente que processou,CNPJ UFV,USINA/FILIAL,CLUSTER,PC,Nº DA NF ,FORNECEDOR,CNPJ - FORNECEDOR,TIPO  DE SERVIÇO PRESTADO,DATA DE EMISSAO - NF ,VALOR DA NF,DT DE INSERÇÃO DO PC,VENCIMENTO,DATA ENVIO AO FISCAL,DATA DE ESCRITURAÇÃO DO FISCAL,DATA QUE A NF FOI PAGA,STATUS DO LANÇAMENTO
THAUANY,54.294.711/0003-07,UFV COMERC BAHIA 3 LTDA - IBIPEBA ,NORDESTE,735,1375068,NORTEL SUPRIMENTOS INDUSRIAIS LTDA ,54.294.053/0046-07,COMPRA DE MATERIAIS ,01/08/2025,463.23,12/12/2025,25/12/2025,12/12/2025,,,FISCAL
THAUANY,54.294.711/0013-89,UFV COMERC BAHIA 3 LTDA - ITAPETINGA,,737,1375079,NORTEL SUPRIMENTOS INDUSRIAIS LTDA ,54.294.053/0046-07,COMPRA DE MATERIAIS ,01/08/2025,463.23,12/12/2025,25/12/2025,12/12/2025,,,FISCAL
THAUANY,53.048.055/0007-23,UFV COMERC MINAS GERAIS 3 LTDA - POUSO ALEGRE,SUL,376,1375140,NORTEL SUPRIMENTOS INDUSRIAIS LTDA ,54.294.053/0046-07,COMPRA DE MATERIAIS ,01/08/2025,463.23,12/12/2025,25/12/2025,12/12/2025,,,FISCAL
THAUANY,54.294.711/0002-26,UFV COMERC BAHIA 3 LTDA - BRUMADO,NORDESTE,733,1375277,NORTEL SUPRIMENTOS INDUSRIAIS LTDA ,54.294.053/0046-07,COMPRA DE MATERIAIS ,01/08/2025,463.23,12/12/2025,25/12/2025,12/12/2025,,,FISCAL
THAUANY,54.294.711/0012-06,UFV COMERC BAHIA 3 LTDA - JOAO DOURADO,NORDESTE,738,1375098,NORTEL SUPRIMENTOS INDUSRIAIS LTDA ,54.294.053/0046-07,COMPRA DE MATERIAIS ,01/08/2025,463.23,12/12/2025,25/12/2025,12/12/2025,,,FISCAL
THAUANY,53.599.051/0002-29,UFV COMERC PERNAMBUCO 3 LTDA - CAMOCIM DE SAO FELIX,NORDESTE,190,1375075,NORTEL SUPRIMENTOS INDUSRIAIS LTDA ,54.294.053/0046-07,COMPRA DE MATERIAIS ,01/08/2025,463.23,12/12/2025,25/12/2025,12/12/2025,,,FISCAL
THAUANY,53.599.051/0002-29,UFV COMERC PERNAMBUCO 3 LTDA - PETROLINA,,191,1375144,NORTEL SUPRIMENTOS INDUSRIAIS LTDA ,54.294.053/0046-07,COMPRA DE MATERIAIS ,01/08/2025,463.23,12/12/2025,25/12/2025,12/12/2025,,,FISCAL
THAUANY,54.294.711/0017-02,UFV COMERC BAHIA 3 LTDA - BARRA DO CHOCA,NORDESTE,731,1375072,NORTEL SUPRIMENTOS INDUSRIAIS LTDA ,54.294.053/0046-07,COMPRA DE MATERIAIS ,01/08/2025,463.23,12/12/2025,25/12/2025,12/12/2025,,,FISCAL
THAUANY,54.294.711/0011-17,UFV COMERC BAHIA 3 LTDA - URANDI,NORDESTE,739,1375090,NORTEL SUPRIMENTOS INDUSRIAIS LTDA ,54.294.053/0046-07,COMPRA DE MATERIAIS ,01/08/2025,463.23,12/12/2025,25/12/2025,12/12/2025,,,FISCAL
THAUANY,53.048.055/0003-08,UFV COMERC MINAS GERAIS 3 LTDA - PATOS DE MINAS,TRIANGULO,374,1375131,NORTEL SUPRIMENTOS INDUSRIAIS LTDA ,54.294.053/0046-07,COMPRA DE MATERIAIS ,01/08/2025,463.23,12/12/2025,25/12/2025,12/12/2025,,,FISCAL
THAUANY,53.048.055/0004-80,UFV COMERC MINAS GERAIS 3 LTDA - SANTO ANTONIO DO AMPARO,SUL,375,1375181,NORTEL SUPRIMENTOS INDUSRIAIS LTDA ,54.294.053/0046-07,COMPRA DE MATERIAIS ,01/08/2025,463.23,12/12/2025,25/12/2025,12/12/2025,,,FISCAL
NAUANY,41.775.887/0002-58,PERNAMBUCO,NORDESTE,000249,1690335,BUNZL EQUIPAMENTOS DE SEGURANÇA,43.854.777/0001-26,COMPRA DE EPIs,01/08/2025,1000.33,05/08/2025,25/08/2025,07/08/2025,18/08/2025,,FINANCEIRO
NAUANY,42.911.546/0010-35,ALFENAS 4,SUL,003247,851,SUPERMERCADO SKINAO PAIS LTDA,27.760.480/0001-45,COMPRA SUPERMERCADO,01/08/2025,1472.9,05/08/2025,25/08/2025,07/08/2025,18/08/2025,,FINANCEIRO
NAUANY,42.911.546/0008-10,PASSOS 4,SUL,003248,852,SUPERMERCADO SKINAO PAIS LTDA,27.760.480/0001-45,COMPRA SUPERMERCADO,01/08/2025,1472.9,05/08/2025,25/08/2025,07/08/2025,18/08/2025,,FINANCEIRO
NAUANY,42.910.475/0014-80,MUZAMBINHO,SUL,005239,853,SUPERMERCADO SKINAO PAIS LTDA,27.760.480/0001-45,COMPRA SUPERMERCADO,01/08/2025,1472.9,05/08/2025,25/08/2025,07/08/2025,18/08/2025,,FINANCEIRO
NAUANY,41.738.810/0012-80,DIVINOPOLIS 1,SUL,005657,854,SUPERMERCADO SKINAO PAIS LTDA,27.760.480/0001-45,COMPRA SUPERMERCADO,01/08/2025,1472.9,05/08/2025,25/08/2025,07/08/2025,18/08/2025,,FINANCEIRO
NAUANY,42.910.475/0016-41,ARCOS 7,SUL,005240,855,SUPERMERCADO SKINAO PAIS LTDA,27.760.480/0001-45,COMPRA SUPERMERCADO,01/08/2025,1472.9,05/08/2025,25/08/2025,07/08/2025,15/08/2025,,FINANCEIRO
THAUANY,42910475001137,MORI MINAS NEWCO IV,TRIANGULO,5210,979275,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",01/08/2025,618,05/08/2025,25/08/2025,05/08/2025,,,PAGO 
THAUANY,42910475001137,MORI MINAS NEWCO IV,NORTE,5214,6755,ELETRO MANIA ,14682980000164,MANUTENÇÃO EM APARELHOS ,01/08/2025,612,05/08/2025,25/08/2025,05/08/2025,,,PAGO 
THAUANY,41738810001441,ESTRELA DO NORTE ,NORTE,5656,622,PREFEITURA DE MONTES CLAROS ,42044355000122,SERVIÇOS NO GERAL,01/08/2025,4842.47,05/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,42911546001035,MORI MINAS NEWCO V,TRIANGULO,3246,620,PREFEITURA DE MONTES CLAROS ,42044355000122,SERVIÇOS NO GERAL,01/08/2025,22212.39,05/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,42910475001641,MORI MINAS NEWCO IV,TRIANGULO,5238,621,PREFEITURA DE MONTES CLAROS ,42044355000122,SERVIÇOS NO GERAL,01/08/2025,5246.01,05/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,32014225000193,UFV Lagoa Grande ,NORTE,374,114,HARLEY DE MELO ,56129360000142,SERVIÇO DE MANUTENÇÃO ELETRICA,01/08/2025,1700,05/08/2025,25/08/2025,07/08/2025,,,PAGO 
THAUANY,51998614000330,MORI MINAS NEWCO III,TRIANGULO,1636,246,LAVA JATO BOB ESPONJA ,51998768000137,SERVICO DE LAVA JATO,01/08/2025,360,06/08/2025,25/08/2025,07/08/2025,,,PAGO 
THAUANY,34183614000330,MORI MINAS NEWCO III,TRIANGULO,1631,115,HARLEY DE MELO ,56129360000142,SERVIÇO DE MANUTENÇÃO,01/08/2025,1300,05/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,42385610000582,MORI GERAÇÃO II,TRIANGULO,4489,979115,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",04/08/2025,45372.9,04/08/2025,25/08/2025,04/08/2025,,,PAGO 
NAUANY,34.181.977/0004-17,PARACATU 1,TRIANGULO,001624,933,MATERIAIS DE CONST. SILVA E LELES,49.678.002/0001-23,MATERIAIS DE CONSTRUÇÃO,04/08/2025,403.7,05/08/2025,25/08/2025,07/08/2025,18/08/2025,,FINANCEIRO
NAUANY,34.183.614/0004-10,BOCAIUVA 2,CENTRO,001637,10279,ANTONIO GOMES DOS SANTOS ,03.334.779/0001-70,COMPRA: REFLETOR / RELE,04/08/2025,1046,07/08/2025,25/08/2025,07/08/2025,18/08/2025,,FINANCEIRO
NAUANY,34.182.074/0003-70,BOCAIUVA 3,CENTRO,001471,10278,ANTONIO GOMES DOS SANTOS ,03.334.779/0001-70,COMPRA: REFLETOR / REBITE / PARAFUSOS,04/08/2025,257.8,18/08/2025,05/09/2025,21/08/2025,28/08/2025,,FINANCEIRO
THAUANY,29655359000189,UFV JANAUBA ,CENTRO,128,301,FF LOCAÇÕES LTDA ,51120314000169,LOCAÇÃO DE EQUIPAMENTOS,04/08/2025,650,05/08/2025,25/08/2025,07/08/2025,,,PAGO 
THAUANY,34182074000450,MORI MINAS NEWCO II,TRIANGULO,1453,302,FF LOCAÇÕES LTDA ,51120314000169,LOCAÇÃO DE EQUIPAMENTOS,04/08/2025,1200,05/08/2025,25/08/2025,08/08/2025,,,PAGO 
THAUANY,41738810002251,ESTRELA DO NORTE SPE,TRIANGULO,5663,14522,CASA E LIMPEZA ,14286722000169,MATERIAL DE LIMPEZA,04/08/2025,253.5,05/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,42385610000605,MORI GERAÇÃO II,TRIANGULO,4517,14524,CASA E LIMPEZA ,14286722000169,MATERIAL DE LIMPEZA,04/08/2025,383.8,05/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,33877063000180,UFV PARACATU,TRIANGULO,417,14523,CASA E LIMPEZA ,14286722000169,MATERIAL DE LIMPEZA,04/08/2025,78,05/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,34183614000330,MORI MINAS NEWCO III,TRIANGULO,1633,14521,CASA E LIMPEZA ,14286722000169,MATERIAL DE LIMPEZA,04/08/2025,911.3,05/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,34183614000330,MORI MINAS NEWCO III,TRIANGULO,1632,4252,TRADIÇÃO PANIFICADORA ,22150589000147,PADARIA,04/08/2025,592.46,05/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,31549360000170,UFV Manga ,CENTRO,379,326,LOK MUNCK LTDA ,25901435000138,LOCAÇÃO DE EQUIPAMENTOS,04/08/2025,4620,04/08/2025,25/08/2025,05/08/2025,,,PAGO 
THAUANY,34183614000330,MORI MINAS NEWCO III,TRIANGULO,1632,4252,TRADIÇÃO PANIFICADORA ,22150589000147,PADARIA,04/08/2025,592.46,05/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,34183614000330,MORI MINAS NEWCO III,TRIANGULO,1632,4252,TRADIÇÃO PANIFICADORA ,22150589000147,PADARIA,04/08/2025,592.46,05/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,34181977000689,MORI MINAS NEWCO I ,TRIANGULO,1623,10280,ANTONIO GOMES DOS SANTOS ,3334779000170,SERVIÇO DE TRANSPORTE ,04/08/2025,404,05/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,41775887000339,MORI PERNANBUCO I ,CENTRO,251,1690772,BUNZL EQUIPAMENTOS ,43854777000126,EPI's,05/08/2025,1000.33,05/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,53599051000490,UFV COMERC PERNANBUCO 3,CENTRO,250,1690336,BUNZL EQUIPAMENTOS ,43854777000126,EPI's,05/08/2025,1000.33,05/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,34181977000417,MORI MINAS NEWCO I ,TRIANGULO,1625,644,PREFEITURA DE MONTES CLAROS ,42044355000122,SERVIÇOS NO GERAL,05/08/2025,20708.64,05/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,41738810002332,ESTRELA DO NORTE ,NORTE,5664,650,PREFEITURA DE MONTES CLAROS ,42044355000122,SERVIÇOS NO GERAL,05/08/2025,798.61,06/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,41738810002251,ESTRELA DO NORTE ,NORTE,5665,649,PREFEITURA DE MONTES CLAROS ,42044355000122,SERVIÇOS NO GERAL,05/08/2025,19965.24,06/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,41385610000605,MORI GERAÇÃO II,TRIANGULO,4518,651,PREFEITURA DE MONTES CLAROS ,42044355000122,SERVIÇOS NO GERAL,05/08/2025,35394.9,06/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,34183614000330,MORI MINAS NEWCO III,TRIANGULO,1634,646,PREFEITURA DE MONTES CLAROS ,42044355000122,SERVIÇOS NO GERAL,05/08/2025,20708.64,06/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,34183614000763,MORI MINAS NEWCO III,TRIANGULO,1635,647,PREFEITURA DE MONTES CLAROS ,42044355000122,SERVIÇOS NO GERAL,05/08/2025,20708.64,06/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,34182074000612,MORI MINAS NEWCO III,TRIANGULO,1454,645,PREFEITURA DE MONTES CLAROS ,42044355000122,SERVIÇOS NO GERAL,05/08/2025,20531.2,06/08/2025,25/08/2025,06/08/2025,,,PAGO 
THAUANY,33877063000180,UFV PARACATU ,TRIANGULO,418,643,PREFEITURA DE MONTES CLAROS ,42044355000122,SERVIÇOS NO GERAL,05/08/2025,19531.2,06/08/2025,25/08/2025,06/08/2025,,,PAGO 
NAUANY,42.910.475/0010-56,CAMPO BELO 1,SUL,005244,164,PJ SERVIÇOS ,49.411.361/0001-10,TRANSPORTE COLETIVO,05/08/2025,695,07/08/2025,25/08/2025,08/08/2025,15/08/2025,,FINANCEIRO
NAUANY,42.911.546/0008-10,PASSOS 4,SUL,003250,163,PJ SERVIÇOS ,49.411.361/0001-10,TRANSPORTE COLETIVO,05/08/2025,900,07/08/2025,25/08/2025,08/08/2025,15/08/2025,,FINANCEIRO
NAUANY,42.910.475/0014-80,MUZAMBINHO,SUL,005245,783,ATENAS CONSTRUTORA LTDA,03.378.423/0001-38 ,REPARO DE CONEXÃO,05/08/2025,2750,07/08/2025,25/08/2025,08/08/2025,20/08/2025,,FINANCEIRO
NAUANY,34.182.074/0003-70,BOCAIUVA 3,CENTRO,001455,121,YA CONFECÇÕES LTDA,56.307.355/0001-82,CONFECÇÃO DE UNIFORMES,05/08/2025,178,07/08/2025,25/08/2025,08/08/2025,18/08/2025,,FINANCEIRO
NAUANY,41.738.810/0008-01,DIVINOPOLIS 1,SUL,005666,157,PJ SERVIÇOS ,49.411.361/0001-10,TRANSPORTE COLETIVO,05/08/2025,1000,07/08/2025,25/08/2025,08/08/2025,15/08/2025,,FINANCEIRO
NAUANY,41.738.810/0012-80,DIVINOPOLIS 2,SUL,005667,158,PJ SERVIÇOS ,49.411.361/0001-10,TRANSPORTE COLETIVO,05/08/2025,1000,07/08/2025,25/08/2025,08/08/2025,15/08/2025,,FINANCEIRO
NAUANY,41.738.810/0014-41,DIVINOPOLIS 3,SUL,005669,159,PJ SERVIÇOS ,49.411.361/0001-10,TRANSPORTE COLETIVO,05/08/2025,1000,07/08/2025,25/08/2025,08/08/2025,15/08/2025,,FINANCEIRO
NAUANY,34.182.074/0005-31 ,PIRAPORA 3,CENTRO,001456,117,MONICA APARECIDA SIQUEIRA ,43.118.394/0001-90,SERVICO DE LAVA JATO,05/08/2025,374,07/08/2025,25/08/2025,08/08/2025,20/08/2025,,FINANCEIRO
NAUANY,42.910.475/0009-12,CAMPO BELO 5,SUL,005260,160,PJ SERVIÇOS ,49.411.361/0001-10,TRANSPORTE COLETIVO,05/08/2025,695,07/08/2025,25/08/2025,08/08/2025,15/08/2025,,FINANCEIRO
NAUANY,42.910.475/0009-12,CAMPO BELO 5,SUL,005261,161,PJ SERVIÇOS ,49.411.361/0001-10,TRANSPORTE COLETIVO,05/08/2025,2875,07/08/2025,25/08/2025,08/08/2025,15/08/2025,,FINANCEIRO
NAUANY,42.910.475/0012-18,SANTO ANTONIO 1,SUL,005262,162,PJ SERVIÇOS ,49.411.361/0001-10,TRANSPORTE COLETIVO,05/08/2025,800,07/08/2025,25/08/2025,08/08/2025,15/08/2025,,FINANCEIRO
NAUANY,36.577.901/0002-79,UNAI,TRIÂNGULO,000663,806,MG GUINDASTES E LOCACAO,12.464.432/0001-32,LOCAÇÃO DE GUINDASTE,05/08/2025,5200,13/08/2025,05/09/2025,22/08/2025,27/08/2025,,FINANCEIRO
NAUANY,33.877.251/0001-08,PORTEIRINHA,NORTE,383980,1758,SUNGROW DO BRASIL ,30.179.370/0002-80,REPARO INVERSOR,05/08/2025,11060.05,21/07/2025,05/09/2025,14/08/2025,,,FINANCEIRO
NAUANY,33.877.251/0001-08,PORTEIRINHA,NORTE,383979,1759,SUNGROW DO BRASIL ,30.179.370/0002-80,REPARO INVERSOR,05/08/2025,11060.05,21/07/2025,05/09/2025,14/08/2025,,,FINANCEIRO
THAUANY,41775887000339,UFV MORI PERNAMBUCO 1,NORDESTE,209,979683,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,18/08/2025,05/09/2025,18/08/2025,,,PAGO 
THAUANY,54294711001117,UFV COMERC BAHIA 3 ,NORDESTE,754,979685,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,18/08/2025,05/09/2025,18/08/2025,,,PAGO 
THAUANY,54294711001206,UFV COMERC BAHIA 3 ,NORDESTE,752,979688,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,18/08/2025,05/09/2025,18/08/2025,,,PAGO 
THAUANY,54294711000226,UFV COMERC BAHIA 3 ,NORDESTE,747,979689,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,18/08/2025,05/09/2025,18/08/2025,,,PAGO 
THAUANY,54294711000579,UFV COMERC BAHIA 3 ,NORDESTE,742,979671,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,18/08/2025,05/09/2025,18/08/2025,,,PAGO 
THAUANY,53048055000642,UFV COMERC MINAS GERAIS 3 ,TRIANGULO,383,979832,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,18/08/2025,05/09/2025,18/08/2025,,,PAGO 
THAUANY,54294711000730,UFV COMERC BAHIA 3 ,NORDESTE,748,979680,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,18/08/2025,05/09/2025,18/08/2025,,,PAGO 
THAUANY,41775887000258,UFV MORI PERNAMBUCO 1,NORDESTE,208,979684,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,18/08/2025,05/09/2025,18/08/2025,,,PAGO 
THAUANY,41718786000407,UFV MORI BAHIA 1,NORDESTE,234,979677,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,18/08/2025,05/09/2025,18/08/2025,,,PAGO 
THAUANY,53048055000723,UFV COMERC MINAS GERAIS 3 ,TRIANGULO,384,979675,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,18/08/2025,05/09/2025,18/08/2025,,,PAGO 
THAUANY,41718786000245,UFV MORI BAHIA 1 ,NORDESTE,233,979678,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,18/08/2025,05/09/2025,18/08/2025,,,PAGO 
THAUANY,41718786000326,UFV MORI BAHIA 1 ,NORDESTE,232,979679,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,18/08/2025,05/09/2025,18/08/2025,,,PAGO 
THAUANY,54294711001702,UFV COMERC BAHIA 3 ,NORDESTE,744,979681,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,18/08/2025,05/09/2025,18/08/2025,,,PAGO 
THAUANY,53599051000229,UFV COMERC PERNAMBUCO 3,NORDESTE,198,979690,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,15/08/2025,05/09/2025,15/08/2025,,,PAGO 
THAUANY,53048055000480,UFV COMERC MINAS GERAIS 3 ,TRIANGULO,382,979676,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,15/08/2025,05/09/2025,15/08/2025,,,PAGO 
THAUANY,36577901000430,UFV ESTRELA DO NORTE SPE II,NORTE,549,979673,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,15/08/2025,05/09/2025,15/08/2025,,,PAGO 
THAUANY,36577901000511,ESTRELA DO NORTE SPE II,NORTE,550,979672,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,15/08/2025,05/09/2025,15/08/2025,,,PAGO 
THAUANY,36577901000350,ESTRELA DO NORTE SPE II,NORTE,545,979674,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,15/08/2025,05/09/2025,15/08/2025,,,PAGO 
THAUANY,54294711001389,UFV COMERC BAHIA 3 ,NORDESTE,751,979830,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,22/08/2025,05/09/2025,22/08/2025,,,PAGO 
THAUANY,54294711001460,UFV COMERC BAHIA 3 ,NORDESTE,753,979687,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,22/08/2025,05/09/2025,22/08/2025,,,PAGO 
THAUANY,17281973001382,UFV COMERC MINAS GERAIS 3 ,TRIANGULO,381,979831,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",05/08/2025,438.51,22/08/2025,05/09/2025,22/08/2025,,,PAGO 
THAUANY,3411573000252,UFV RAJADA ENERGIA ,SUL,197,240194,FERRAMENTAL ,2991409000142,COMPRA DE FERRAMENTAS ,05/08/2025,582,08/08/2025,05/09/2025,08/08/2025,,,PAGO 
THAUANY,42385610000443,MORI GERAÇÃO II,NORTE,4613,2752,ECOAR SERVIÇOS SUSTENTAVEIS ,31557528000190,SERVIÇO DE LAVAGEM E ROÇAGEM,05/08/2025,2011.06,16/09/2025,15/10/2025,16/09/2025,,,PAGO 
THAUANY,36577901000279,ESTRELA DO NORTE SPE II,NORTE,551,980010,COFERMETA SA,17.281.973/0013-82,"COMPRA DE MATERIAIS: ALICATE, SOPRADOR, CHAVE",06/08/2025,2261.19,13/08/2025,05/09/2025,13/08/2025,,,PAGO 
THAUANY,42385610000796,MORI MINAS NEWCO II,CENTRO,4614,666,RONDAS PORTEIROS LTDA,42044355000122,SERVIÇO DE VIGILANCIA ,06/08/2025,18668.32,16/09/2025,05/10/2025,17/09/2025,,,PAGO 
THAUANY,34183614000500,MORI MINAS NEWCO II,CENTRO,1706,667,RONDAS PORTEIROS LTDA,42044355000122,SERVIÇO DE VIGILANCIA ,06/08/2025,21281.9,16/09/2025,05/10/2025,17/09/2025,,,PAGO 
NAUANY,34.182.074/0004-50,JANAUBA,NORTE,001475,11106,SANTOS E OLIVEIRA SUPERMERCADOS ,26.704.571/0001-09,COMPRA SUPERMERCADO,07/08/2025,272.49,18/08/2025,05/09/2025,22/08/2025,28/08/2025,,FINANCEIRO
THAUANY,31.549.360/0001-70,UFV MANGA ,CENTRO,411,159829267,COPASA ,17.281.106/0001-03 ,ABASTECIMENTO DE AGUA ,07/08/2025,36.6,07/08/2025,25/08/2025,19/08/2025,,,PAGO 
NAUANY,42.910.475/0008-31,PARAGUAÇU,SUL,005292,9862,SIGMA SENSORS,10.673.569/0002-52,COMPRA SENSOR TEMPERATURA,08/08/2025,1987.17,13/08/2025,05/09/2025,22/08/2025,28/08/2025,,FINANCEIRO
THAUANY,42385610001504,MORI GERAÇÃO II,NORTE,4549,748,MARCOS ANTONIO ROQUE ,28836189000176,SERVIÇO DE GUINCHO ,08/08/2025,1200,19/08/2025,15/09/2025,22/08/2025,,,PAGO 
THAUANY,41738810002332,ESTRELA DO NORTE ,NORTE,5722,34,CONCEITO AR REFRIERAÇÃO LTDA,45995940000104,SERVIÇO DE MANUTENÇÃO EM AR CONDICIONADO ,09/08/2025,358.2,25/08/2025,05/09/2025,25/08/2025,,,PAGO 
NAUANY,34.182.074/0003-70,BOCAIUVA 3,CENTRO,001469,22606,SUNGROW DO BRASIL ,30.179.370/0002-80,COMPRA VENTILADOR DISSIPAÇÃO,11/08/2025,171.86,14/08/2025,05/09/2025,22/08/2025,28/08/2025,,FINANCEIRO
NAUANY,34.182.074/0003-70,BOCAIUVA 3,CENTRO,001469,1769,SUNGROW DO BRASIL ,30.179.370/0002-80,REPARO INVERSOR,11/08/2025,341.88,14/08/2025,05/09/2025,22/08/2025,28/08/2025,,FINANCEIRO
NAUANY,31.800.116/0001-52,UFV MANGA,NORTE,000410,79,FABIO RANIEL CANDIDO DE JESUS,36.800.116/0001-52,MANUTENÇÃO DE VENTILADORES,11/08/2025,700,18/08/2025,05/09/2025,22/08/2025,28/08/2025,,FINANCEIRO
NAUANY,34.458.863/0001-29,JANUARIA 1,NORTE,302113,81,FABIO RANIEL CANDIDO DE JESUS,36.800.116/0001-52,MANUTENÇÃO DE VENTILADORES,11/08/2025,700,18/08/2025,05/09/2025,22/08/2025,28/08/2025,,FINANCEIRO
NAUANY,34.181.977/0003-36,MANGA 1,NORTE,001640,80,FABIO RANIEL CANDIDO DE JESUS,36.800.116/0001-52,MANUTENÇÃO DE VENTILADORES,11/08/2025,500,18/08/2025,05/09/2025,22/08/2025,28/08/2025,,FINANCEIRO
NAUANY,34.182.074/0004-50,JANAUBA,NORTE,001468,1815394,ESMALTEC S.A,02.948.030/0002-30,COMPRA DE BEBEDOURO,12/08/2025,719.9,13/08/2025,05/09/2025,22/08/2025,28/08/2025,,FINANCEIRO
NAUANY,42.910.475/0005-99,CASSIA ,SUL,005281,6777,ELETRICA MANIA - GISLENE PIGNATARI,14.682.980/0001-64,COMPRA DE ABRACADEIRAS,12/08/2025,9835,11/08/2025,05/09/2025,13/08/2025,,,FINANCEIRO
NAUANY,34.181.977/0003-36,MANGA 1,NORTE,001493,654616,COMERCIAL ELETRICA PJ NEBLINA,57.158.057/0006-45,COMPRA DISPOSITIVO DE PROTEÇÃO,13/08/2025,2239.03,28/04/2025,05/10/2025,14/08/2025,,,FINANCEIRO
NAUANY,34.182.074/0004-50,JANAUBA,NORTE,001348,654612,COMERCIAL ELETRICA PJ NEBLINA,57.158.057/0006-45,COMPRA DISPOSITIVO DE PROTEÇÃO,13/08/2025,2239.03,28/04/2025,05/10/2025,14/08/2025,,,FINANCEIRO
NAUANY,34.183.614/0004-10,BOCAIUVA 2,CENTRO,001619,4938,ELETRO EPI,05.021.211/0001-24,COMPRA: REFLETOR / SENSOR,13/08/2025,142.73,24/07/2025,05/10/2025,25/08/2025,,,FINANCEIRO
